# Enhanced Poisson Multi-Bernoulli Tracking Log
# Input: D:\khenk\Downloads\parallel_run5_2025-12-20260128T124203Z-3-001\parallel_run5_2025-12\cam0_tile0_max_iqr2.0_down32.mp4
#
# frame, track_id, x, y, existence_prob, confidence, speed, age, detections
#================================================================================
34, 9, 39, 1, 0.9997, 0.9660, 1.1993, 30, 29
34, 14, 37, 28, 0.9997, 1.0000, 1.2856, 23, 23
34, 20, 21, 116, 0.9997, 0.7664, 1.2908, 12, 12
35, 4, 113, 47, 0.9997, 1.0000, 1.2588, 35, 34
35, 2, 64, 118, 0.9997, 1.0000, 1.0001, 35, 35
35, 9, 40, 1, 0.9997, 1.0000, 1.0223, 31, 30
35, 14, 39, 28, 0.9997, 1.0000, 1.7083, 24, 24
35, 20, 23, 116, 0.9997, 0.8081, 1.7666, 13, 13
36, 4, 114, 47, 0.9997, 1.0000, 1.0311, 36, 35
36, 2, 63, 118, 0.9997, 1.0000, 1.0009, 36, 36
36, 9, 42, 1, 0.9997, 1.0000, 1.7638, 32, 31
36, 14, 41, 28, 0.9997, 1.0000, 1.9982, 25, 25
36, 17, 19, 115, 0.9997, 0.7547, 2.5320, 17, 16
36, 20, 24, 115, 0.9997, 0.8497, 1.4654, 14, 14
37, 4, 116, 47, 0.9997, 1.0000, 1.7640, 37, 36
37, 2, 62, 117, 0.9997, 1.0000, 1.2500, 37, 37
37, 9, 43, 1, 0.9997, 1.0000, 1.2947, 33, 32
37, 14, 42, 28, 0.9997, 1.0000, 1.2779, 26, 26
37, 17, 20, 115, 0.9997, 0.7963, 1.5028, 18, 17
37, 20, 25, 115, 0.9997, 0.8914, 1.0263, 15, 15
38, 4, 117, 48, 0.9997, 1.0000, 1.4795, 38, 37
38, 9, 44, 0, 0.9997, 1.0000, 1.2498, 34, 33
38, 14, 44, 27, 0.9997, 1.0000, 1.8861, 27, 27
38, 17, 22, 115, 0.9997, 0.8379, 1.7325, 19, 18
38, 20, 27, 115, 0.9997, 0.9331, 1.7212, 16, 16
39, 4, 118, 48, 0.9997, 1.0000, 1.0379, 39, 38
39, 14, 46, 27, 0.9997, 1.0000, 2.0216, 28, 28
39, 17, 24, 115, 0.9997, 0.8795, 1.9704, 20, 19
39, 20, 28, 115, 0.9997, 0.9747, 1.2786, 17, 17
40, 4, 119, 48, 0.9997, 1.0000, 0.9574, 40, 39
40, 9, 54, 4, 0.8839, 0.9766, 9.8637, 36, 35
40, 14, 47, 27, 0.9997, 1.0000, 1.2763, 29, 29
40, 17, 26, 115, 0.9997, 0.9212, 2.0277, 21, 20
40, 20, 30, 115, 0.9997, 1.0000, 1.7649, 18, 18
41, 4, 120, 49, 0.9997, 1.0000, 1.2213, 41, 40
41, 14, 49, 27, 0.9997, 1.0000, 1.7241, 30, 30
41, 17, 28, 115, 0.9997, 0.9628, 2.0149, 22, 21
41, 20, 31, 114, 0.9997, 1.0000, 1.4663, 19, 19
42, 4, 121, 49, 0.9997, 1.0000, 1.0375, 42, 41
42, 14, 51, 28, 0.9997, 1.0000, 2.1468, 31, 31
42, 17, 30, 114, 0.9997, 1.0000, 2.1424, 23, 22
43, 4, 122, 50, 0.9997, 1.0000, 1.2603, 43, 42
43, 14, 52, 28, 0.9997, 1.0000, 1.3093, 32, 32
43, 17, 32, 114, 0.9997, 1.0000, 2.0197, 24, 23
43, 27, 94, 109, 0.9997, 0.7623, 0.9843, 5, 6
44, 4, 123, 50, 0.9997, 1.0000, 1.0320, 44, 43
44, 14, 54, 28, 0.9997, 1.0000, 1.7236, 33, 33
44, 17, 34, 114, 0.9997, 1.0000, 1.9992, 25, 24
44, 27, 95, 110, 0.9997, 0.7998, 1.2100, 6, 7
45, 4, 124, 50, 0.9997, 1.0000, 1.0001, 45, 44
45, 2, 54, 114, 0.9997, 0.7620, 1.0377, 45, 44
45, 14, 55, 28, 0.9997, 1.0000, 1.2368, 34, 34
45, 17, 36, 113, 0.9997, 1.0000, 2.1260, 26, 25
45, 27, 95, 111, 0.9997, 0.8384, 1.0364, 7, 8
45, 31, 13, 1, 0.9997, 0.7623, 1.0414, 5, 6
46, 4, 126, 51, 0.9997, 1.0000, 1.9056, 46, 45
46, 14, 57, 28, 0.9997, 1.0000, 1.7486, 35, 35
46, 17, 37, 112, 0.9997, 1.0000, 1.6151, 27, 26
46, 27, 95, 110, 0.9996, 0.8778, 0.4875, 8, 9
46, 31, 14, 1, 0.9997, 0.7998, 1.0415, 6, 7
47, 4, 127, 51, 0.9997, 1.0000, 1.3213, 47, 46
47, 14, 59, 28, 0.9997, 1.0000, 2.0154, 36, 36
47, 17, 39, 111, 0.9997, 1.0000, 2.0082, 28, 27
47, 27, 96, 111, 0.9996, 0.9178, 0.8310, 9, 10
47, 31, 15, 1, 0.9997, 0.8385, 1.0425, 7, 8
48, 14, 60, 28, 0.9997, 1.0000, 1.2786, 37, 37
48, 17, 40, 111, 0.9997, 1.0000, 1.2614, 29, 28
48, 27, 98, 112, 0.9996, 0.9580, 2.0649, 10, 11
48, 31, 16, 1, 0.9997, 0.8779, 1.0172, 8, 9
49, 14, 62, 28, 0.9997, 1.0000, 1.7222, 38, 38
49, 17, 41, 110, 0.9997, 1.0000, 1.2134, 30, 29
49, 27, 99, 113, 0.9997, 0.9986, 1.7309, 11, 12
49, 31, 17, 2, 0.9997, 0.9178, 1.2486, 9, 10
50, 14, 64, 29, 0.9997, 1.0000, 2.1401, 39, 39
50, 17, 43, 110, 0.9997, 1.0000, 1.7401, 31, 30
50, 27, 100, 113, 0.9997, 1.0000, 1.0508, 12, 13
50, 31, 18, 2, 0.9997, 0.9581, 1.0394, 10, 11
51, 14, 65, 29, 0.9997, 1.0000, 1.3092, 40, 40
51, 17, 44, 110, 0.9997, 1.0000, 1.2787, 32, 31
51, 27, 100, 114, 0.9997, 1.0000, 0.7336, 13, 14
51, 31, 19, 2, 0.9997, 0.9986, 0.9991, 11, 12
52, 14, 67, 30, 0.9997, 1.0000, 1.8854, 41, 41
52, 17, 45, 109, 0.9997, 1.0000, 1.2355, 33, 32
52, 27, 101, 114, 0.9997, 1.0000, 0.7265, 14, 15
52, 31, 20, 2, 0.9997, 1.0000, 1.0009, 12, 13
53, 2, 47, 110, 0.9997, 0.7589, 1.0309, 53, 51
53, 14, 69, 30, 0.9997, 1.0000, 2.0155, 42, 42
53, 17, 51, 114, 0.9943, 1.0000, 7.0184, 34, 33
53, 27, 102, 115, 0.9997, 1.0000, 1.2487, 15, 16
53, 31, 21, 3, 0.9997, 1.0000, 1.2487, 13, 14
53, 33, 124, 108, 0.9997, 0.7664, 1.7408, 10, 10
54, 2, 46, 110, 0.9997, 0.8002, 0.9871, 54, 52
54, 14, 70, 30, 0.9997, 1.0000, 1.2765, 43, 43
54, 27, 103, 115, 0.9997, 1.0000, 1.0751, 16, 17
54, 31, 22, 3, 0.9997, 1.0000, 1.0417, 14, 15
54, 33, 126, 109, 0.9997, 0.8081, 2.1109, 11, 11
55, 2, 45, 110, 0.9997, 0.8416, 1.0255, 55, 53
55, 14, 72, 31, 0.9997, 1.0000, 1.8685, 44, 44
55, 27, 104, 116, 0.9997, 1.0000, 1.2645, 17, 18
55, 31, 23, 3, 0.9997, 1.0000, 1.0000, 15, 16
55, 33, 127, 109, 0.9997, 0.8497, 1.2976, 12, 12
56, 2, 44, 110, 0.9997, 0.8829, 1.0171, 56, 54
56, 14, 73, 31, 0.9997, 1.0000, 1.2669, 45, 45
56, 27, 104, 117, 0.9997, 1.0000, 1.0411, 18, 19
56, 31, 24, 3, 0.9997, 1.0000, 1.0009, 16, 17
56, 33, 121, 108, 0.9955, 0.8881, 5.2091, 13, 13
57, 14, 75, 32, 0.9997, 1.0000, 1.9085, 46, 46
57, 27, 105, 117, 0.9997, 1.0000, 0.7584, 19, 20
57, 31, 25, 4, 0.9997, 1.0000, 1.2486, 17, 18
58, 2, 52, 108, 0.9812, 0.9497, 7.8468, 58, 56
58, 14, 76, 32, 0.9997, 1.0000, 1.2765, 47, 47
58, 27, 106, 118, 0.9997, 1.0000, 1.2327, 20, 21
58, 31, 26, 4, 0.9997, 1.0000, 1.0417, 18, 19
58, 37, 3, 6, 0.9997, 0.7623, 0.7507, 5, 6
59, 2, 66, 114, 0.9444, 0.9569, 13.7561, 59, 57
59, 14, 78, 33, 0.9997, 1.0000, 1.9040, 48, 48
59, 27, 107, 119, 0.9997, 1.0000, 1.4441, 21, 22
59, 31, 27, 4, 0.9997, 1.0000, 1.0000, 19, 20
60, 14, 80, 33, 0.9997, 1.0000, 2.0294, 49, 49
60, 27, 108, 119, 0.9997, 1.0000, 1.0533, 22, 23
60, 31, 28, 4, 0.9997, 1.0000, 1.0009, 20, 21
60, 37, 4, 6, 0.9997, 0.8384, 0.7505, 7, 8
