Algorithm,Family,Noise Robustness,Motion Adaptability,Clutter Handling,Compute Load,Notes,Status,Runtime (s),Frames,Detections,Tracks,Output Video,Track Log
Advanced baseline,Adaptive KF + Mahalanobis,3,3,3,2,Current adaptive-Kalman baseline.,ok,0.08,30,29,1,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full\advanced_baseline\output_video.mp4,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full\advanced_baseline\tracks.txt
Current PMB,PMB,3,3,4,3,Canonical PMB implementation (tracking_core/pmb.py).,ok,0.06,30,29,1,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full\pmb_baseline\output_video.mp4,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full\pmb_baseline\tracks.txt
IMM adaptive,IMM-like,4,5,3,3,Best first option for variable speed regimes.,ok,0.07,30,29,1,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full\imm_adaptive\output_video.mp4,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full\imm_adaptive\tracks.txt
JPDA lite,JPDA approximation,4,4,5,4,Soft assignment for ambiguous detections.,ok,0.07,30,29,1,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full\jpda_lite\output_video.mp4,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full\jpda_lite\tracks.txt
MHT lite,MHT approximation,4,4,5,5,Delayed commitment for ambiguous tracks.,error: name 'linear_sum_assignment' is not defined,,,,,,
Particle assisted,Particle filter hybrid,5,4,3,5,Useful when centroids are noisy or streaky.,ok,0.07,30,29,1,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full\particle_assisted\output_video.mp4,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full\particle_assisted\tracks.txt
Track-before-detect,TBD,5,3,2,4,Best when weak signals die at thresholding.,ok,0.06,30,25,1,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full\track_before_detect\output_video.mp4,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full\track_before_detect\tracks.txt
Adaptive RFS family,PMBM / GLMB / LMB inspired,4,4,5,4,Closest extension of the current PMB path.,ok,0.06,30,29,1,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full\adaptive_rfs\output_video.mp4,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full\adaptive_rfs\tracks.txt
