Algorithm,Family,Noise Robustness,Motion Adaptability,Clutter Handling,Compute Load,Notes,Status,Runtime (s),Frames,Detections,Tracks,Output Video,Track Log
Advanced baseline,Adaptive KF + Mahalanobis,3,3,3,2,Current adaptive-Kalman baseline.,ok,0.06,30,29,1,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full_v2\advanced_baseline\output_video.mp4,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full_v2\advanced_baseline\tracks.txt
Current PMB,PMB,3,3,4,3,Canonical PMB implementation (tracking_core/pmb.py).,ok,0.14,30,29,1,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full_v2\pmb_baseline\output_video.mp4,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full_v2\pmb_baseline\tracks.txt
IMM adaptive,IMM-like,4,5,3,3,Best first option for variable speed regimes.,ok,0.06,30,29,1,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full_v2\imm_adaptive\output_video.mp4,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full_v2\imm_adaptive\tracks.txt
JPDA lite,JPDA approximation,4,4,5,4,Soft assignment for ambiguous detections.,ok,0.06,30,29,1,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full_v2\jpda_lite\output_video.mp4,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full_v2\jpda_lite\tracks.txt
MHT lite,MHT approximation,4,4,5,5,Delayed commitment for ambiguous tracks.,ok,0.06,30,29,1,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full_v2\mht_lite\output_video.mp4,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full_v2\mht_lite\tracks.txt
Particle assisted,Particle filter hybrid,5,4,3,5,Useful when centroids are noisy or streaky.,ok,0.07,30,29,1,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full_v2\particle_assisted\output_video.mp4,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full_v2\particle_assisted\tracks.txt
Track-before-detect,TBD,5,3,2,4,Best when weak signals die at thresholding.,ok,0.07,30,25,1,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full_v2\track_before_detect\output_video.mp4,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full_v2\track_before_detect\tracks.txt
Adaptive RFS family,PMBM / GLMB / LMB inspired,4,4,5,4,Closest extension of the current PMB path.,ok,0.09,30,29,1,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full_v2\adaptive_rfs\output_video.mp4,D:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results\all_trackers_full_v2\adaptive_rfs\tracks.txt
