# Enhanced Poisson Multi-Bernoulli Tracking Log
# Input: D:\khenk\Downloads\parallel_run5_2025-12-20260128T124203Z-3-001\parallel_run5_2025-12\cam0_tile0_max_iqr2.0_down32.mp4
#
# frame, track_id, x, y, existence_prob, confidence, speed, age, detections
#================================================================================
24, 18, 21, 30, 0.9997, 0.8914, 2.1541, 13, 13
24, 26, 8, 115, 0.9997, 0.7623, 0.9851, 5, 6
24, 27, 84, 99, 0.9744, 0.7110, 8.2694, 4, 5
25, 9, 103, 41, 0.9996, 1.0000, 1.6775, 25, 24
25, 5, 74, 121, 0.9997, 1.0000, 1.7500, 25, 25
25, 18, 22, 30, 0.9997, 0.9331, 1.3113, 14, 14
25, 25, 28, 88, 0.9997, 0.6831, 1.0349, 8, 8
25, 30, 15, 115, 0.9981, 0.6947, 1.4453, 3, 4
26, 9, 104, 43, 0.9996, 1.0000, 1.7773, 26, 25
26, 5, 73, 121, 0.9997, 1.0000, 1.2927, 26, 26
26, 18, 24, 30, 0.9997, 0.9747, 1.7221, 15, 15
26, 25, 29, 89, 0.9997, 0.7248, 1.2244, 9, 9
26, 26, 9, 114, 0.9997, 0.8384, 1.0446, 7, 8
26, 30, 12, 111, 0.9984, 0.7261, 4.4176, 4, 5
26, 32, 120, 98, 0.9980, 0.6946, 1.9270, 3, 4
27, 9, 105, 43, 0.9997, 1.0000, 1.1948, 27, 26
27, 5, 72, 120, 0.9997, 1.0000, 1.2589, 27, 27
27, 18, 25, 30, 0.9997, 1.0000, 1.2360, 16, 16
27, 22, 31, 4, 0.9997, 0.6831, 1.5162, 13, 13
27, 25, 31, 89, 0.9997, 0.7664, 1.7781, 10, 10
27, 26, 8, 115, 0.9996, 0.8778, 0.7076, 8, 9
28, 9, 106, 44, 0.9997, 1.0000, 1.2658, 28, 27
28, 5, 71, 120, 0.9997, 1.0000, 1.0014, 28, 28
28, 18, 27, 29, 0.9997, 1.0000, 1.9015, 17, 17
28, 22, 32, 4, 0.9997, 0.7248, 1.2662, 14, 14
28, 25, 32, 90, 0.9997, 0.8081, 1.4938, 11, 11
28, 26, 5, 114, 0.9994, 0.9176, 3.3911, 9, 10
28, 28, 116, 118, 0.9996, 0.6831, 1.7904, 8, 8
28, 34, 54, 33, 0.9981, 0.6947, 0.7315, 3, 4
29, 9, 107, 44, 0.9997, 1.0000, 1.0089, 29, 28
29, 5, 70, 120, 0.9997, 1.0000, 0.9837, 29, 29
29, 18, 29, 29, 0.9997, 1.0000, 2.0365, 18, 18
29, 22, 33, 3, 0.9997, 0.7664, 1.2707, 15, 15
29, 25, 33, 90, 0.9997, 0.8498, 1.0314, 12, 12
29, 28, 117, 119, 0.9997, 0.7248, 1.4598, 9, 9
29, 34, 55, 33, 0.9996, 0.7268, 1.0058, 4, 5
30, 9, 108, 45, 0.9997, 1.0000, 1.2370, 30, 29
30, 5, 69, 120, 0.9997, 1.0000, 1.0008, 30, 30
30, 18, 30, 29, 0.9997, 1.0000, 1.2787, 19, 19
30, 22, 34, 3, 0.9997, 0.8081, 1.0143, 16, 16
30, 25, 34, 91, 0.9997, 0.8914, 1.2168, 13, 13
30, 28, 119, 120, 0.9997, 0.7664, 2.0152, 10, 10
30, 36, 8, 40, 0.7641, 0.5393, 17.6219, 2, 3
31, 9, 109, 45, 0.9997, 1.0000, 1.0314, 31, 30
31, 5, 68, 119, 0.9997, 1.0000, 1.2505, 31, 31
31, 18, 32, 29, 0.9997, 1.0000, 1.7227, 20, 20
