# Advanced Satellite Tracking Log
# Input: D:\khenk\Downloads\parallel_run5_2025-12-20260128T124203Z-3-001\parallel_run5_2025-12\cam0_tile0_max_iqr2.0_down32.mp4
# Output: d:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results_full\cam0_tile0_jpda_lite.mp4
#
# frame, track_id, x, y, confidence, speed, vx, vy, quality, intensity
#================================================================================
6, 76, 86, 32, 0.6300, 2.1296, -0.9524, 1.9048, 0.1890, 176.00
6, 83, 127, 113, 0.6000, 1.3708, 0.9860, 0.9524, 0.1800, 79.33
6, 84, 27, 127, 0.6000, 1.9384, 1.9384, 0.0000, 0.1800, 183.33
6, 75, 8, 12, 0.6300, 3.4339, 1.9048, 2.8571, 0.1890, 237.83
6, 56, 102, 126, 0.8167, 2.7698, 2.5512, 1.0784, 0.4900, 239.67
6, 38, 9, 77, 0.8167, 1.2547, 0.9964, 0.7625, 0.4900, 202.33
6, 50, 100, 114, 0.8722, 1.8794, -1.7181, 0.7618, 0.6106, 141.62
6, 9, 122, 3, 0.8222, 0.7314, 0.6919, 0.2372, 0.5756, 155.29
6, 15, 85, 36, 0.8722, 2.1366, 1.1302, 1.8131, 0.6106, 217.29
6, 77, 116, 66, 0.6000, 15.5036, -10.4762, 11.4286, 0.1800, 109.00
6, 68, 89, 113, 0.6556, 9.4007, -4.5591, -8.2212, 0.2622, 138.75
6, 20, 9, 16, 0.6556, 20.9679, -15.2309, -14.4108, 0.2622, 207.75
6, 81, 33, 95, 0.6000, 24.7619, -24.7619, 0.0000, 0.1800, 167.33
6, 2, -18, 22, 0.5256, 12.7872, -10.8201, 6.8146, 0.2102, 219.75
6, 17, -8, 20, 0.6311, 14.6457, -10.2949, -10.4169, 0.3156, 215.80
6, 24, 111, 62, 0.5756, 3.9284, 3.0535, 2.4714, 0.2302, 160.50
6, 33, 61, 104, 0.5800, 23.5126, -17.0676, 16.1721, 0.1740, 158.67
6, 37, 10, -12, 0.5800, 43.1503, -4.3697, -42.9285, 0.1740, 196.00
6, 42, 66, 92, 0.6867, 0.5461, 0.4533, 0.3045, 0.4120, 167.67
6, 62, -7, 24, 0.5256, 7.3519, -6.3019, 3.7864, 0.2102, 227.25
6, 67, 89, 120, 0.6311, 27.0568, 26.8905, -2.9948, 0.3156, 153.60
7, 13, 13, 13, 0.6600, 23.2539, -18.1192, -14.5753, 0.1980, 220.33
7, 56, 104, 127, 0.8722, 2.3318, 2.1094, 0.9938, 0.6106, 241.86
7, 84, 28, 127, 0.7056, 1.2672, 1.2672, 0.0000, 0.2822, 187.25
7, 39, 9, 41, 0.6600, 37.8601, 7.2377, -37.1619, 0.1980, 187.00
7, 9, 123, 3, 0.8778, 1.0468, 1.0452, -0.0564, 0.7022, 154.12
7, 38, 10, 77, 0.8722, 1.0020, 0.9577, 0.2944, 0.6106, 201.00
7, 42, 66, 93, 0.8222, 0.5924, 0.1945, 0.5595, 0.5756, 167.29
7, 50, 99, 114, 0.9278, 1.3053, -1.2802, 0.2546, 0.7422, 142.92
7, 23, 74, 34, 0.6600, 22.6208, 0.8901, -22.6032, 0.1980, 200.00
7, 78, 51, 65, 0.6000, 10.4246, -8.2970, 6.3113, 0.1800, 194.33
7, 75, 13, 32, 0.7156, 18.0698, 5.0384, 17.3531, 0.2862, 231.88
7, 83, 127, 101, 0.6556, 10.2936, 0.2550, -10.2904, 0.2622, 77.50
7, 20, 7, 8, 0.7111, 9.1338, -3.5591, -8.4118, 0.3556, 210.40
7, 62, 5, 36, 0.7111, 7.1086, 1.2978, 6.9891, 0.3556, 222.40
7, 33, 61, 97, 0.6556, 8.1875, -7.5282, 3.2189, 0.2622, 158.75
7, 15, 86, 38, 0.7922, 2.1366, 1.1302, 1.8131, 0.5546, 217.29
7, 68, 84, 104, 0.5756, 9.4007, -4.5591, -8.2212, 0.2302, 138.75
7, 76, 85, 34, 0.5500, 2.1296, -0.9524, 1.9048, 0.1650, 176.00
7, 77, 106, 77, 0.5200, 15.5036, -10.4762, 11.4286, 0.1560, 109.00
7, 81, 8, 95, 0.5200, 24.7619, -24.7619, 0.0000, 0.1560, 167.33
8, 64, 80, 26, 0.6600, 15.6011, 9.0679, -12.6951, 0.1980, 208.00
8, 38, 11, 77, 0.9278, 0.9841, 0.9841, 0.0038, 0.7422, 202.62
8, 86, 32, 45, 0.6300, 2.9798, 2.8235, 0.9524, 0.1890, 212.00
8, 42, 66, 94, 0.9078, 0.9192, 0.0275, 0.9188, 0.7262, 166.88
8, 84, 30, 127, 0.7611, 1.7394, 1.7394, 0.0000, 0.3806, 183.80
8, 50, 97, 114, 0.9833, 1.7571, -1.7571, -0.0112, 0.8850, 143.87
8, 9, 125, 4, 0.9333, 1.9966, 1.8543, 0.7404, 0.8400, 153.78
8, 76, 87, 37, 0.7056, 2.6481, 0.5954, 2.5803, 0.2822, 186.50
8, 77, 99, 91, 0.6856, 15.3748, -8.5350, 12.7882, 0.2742, 110.75
8, 24, 119, 66, 0.7611, 4.2962, 3.6280, 2.3009, 0.3806, 151.60
