Algorithm,Family,Noise Robustness,Motion Adaptability,Clutter Handling,Compute Load,Notes,Status,Runtime (s),Frames,Detections,Tracks,Output Video,Track Log
Advanced baseline,Adaptive KF + Mahalanobis,3,3,3,2,Current adaptive-Kalman baseline.,ok,422.47,1474,29261,2464,d:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results_full\cam0_tile0_advanced_baseline.mp4,d:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results_full\cam0_tile0_advanced_baseline_tracks.txt
Current PMB,PMB,3,3,4,3,Current notebook PMB implementation.,ok,47.68,1474,29261,376,d:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results_full\cam0_tile0_pmb_baseline.mp4,d:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results_full\cam0_tile0_pmb_baseline_tracks.txt
IMM adaptive,IMM-like,4,5,3,3,Best first option for variable speed regimes.,ok,87.7,1474,29261,1798,d:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results_full\cam0_tile0_imm_adaptive.mp4,d:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results_full\cam0_tile0_imm_adaptive_tracks.txt
JPDA lite,JPDA approximation,4,4,5,4,Soft assignment for ambiguous detections.,ok,176.63,1474,29261,2428,d:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results_full\cam0_tile0_jpda_lite.mp4,d:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results_full\cam0_tile0_jpda_lite_tracks.txt
MHT lite,MHT approximation,4,4,5,5,Delayed commitment for ambiguous tracks.,ok,271.74,1474,29261,2555,d:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results_full\cam0_tile0_mht_lite.mp4,d:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results_full\cam0_tile0_mht_lite_tracks.txt
Particle assisted,Particle filter hybrid,5,4,3,5,Useful when centroids are noisy or streaky.,ok,166.92,1474,29261,2337,d:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results_full\cam0_tile0_particle_assisted.mp4,d:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results_full\cam0_tile0_particle_assisted_tracks.txt
Track-before-detect,TBD,5,3,2,4,Best when weak signals die at thresholding.,ok,1617.73,1474,205113,4636,d:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results_full\cam0_tile0_track_before_detect.mp4,d:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results_full\cam0_tile0_track_before_detect_tracks.txt
Adaptive RFS family,PMBM / GLMB / LMB inspired,4,4,5,4,Closest extension of the current PMB path.,ok,59.52,1474,29261,1116,d:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results_full\cam0_tile0_adaptive_rfs.mp4,d:\khenk\Downloads\SNC Sat Tracking Peng\comparison_results_full\cam0_tile0_adaptive_rfs_tracks.txt
